zinc,smile
ZINC85625349,NCOc1cc(CCC(=O)CC(O)C2C=CC3CC(Cc4ccccc4)C2c2cc(O)c(O)c(OC4CC[NH2+]C(Cc5ccccc5)C4)c23)ccc1O
ZINC85570969,CC(CC(O)C1OC1(C)C1CCCC1)C1=C2CCC3C4(C)CC(c5cccc(O)c5)C(=O)C(C)(C)C4C(O)CC3(C)C2(C)CC1=O
ZINC85570970,C[NH2+]Cc1cc(O)cc(C2CC3(C)C(CCC4(CCO)C3CCC3=C(C(C)CC(O)C5OC5(C)C)C(=O)CC34C)C(C)(C)C2=O)c1
ZINC85594571,CC=C(C)C(=O)OC1(C)CC=C2CSSCC3C(C[NH2+]C)CN3C(=O)Cc3c[nH+]c(N)cc3C2C12Cc1cc3cc(C4(CCO)CCCCC4)c(=O)oc3cc1O2
ZINC85549197,C[NH2+]Cc1ccc(CO)c(C2C=CC3CCC4=C5CC6CC(CO)C(CCCO)C5(CC4=O)C6(C)CCSSCC34[NH+]=C(N)NCC24)c1
ZINC33833938,C=C1C(O)CCC2(C)C(OC(C)=O)C(OC(C)=O)C34C(C)C(=O)CC(C(OC(C)=O)C123)C4(C)C
ZINC85570972,CC(CC(O)C1OC1(C)C1CCCC1)C1=C2CCC3C4(C)CC(c5cccc(O)c5)C(=O)C(C)(C)C4CCC3(CCO)C2(C)CC1=O
ZINC85570973,C[NH2+]Cc1cc(O)cc(C2CC3(C)C(CCC4(C)C3CCC3=C(C(CC(O)C5OC5(C)C)C5CCCCC5)C(=O)CC34C)C(C)(C)C2=O)c1
ZINC85540414,C=C1C(OC(C)=O)CCC2(C)C(OC(C)=O)C(OC(C)=O)C34C(C)C(=O)CC(C(OC(C)=O)C123)C4(C)C
ZINC85594574,CC=C(C)C(=O)OC1(C)CC=C2CSSCC3C(C[NH2+]C)CN3C(=O)Cc3c[nH+]c(N)cc3C2C12Cc1cc3cc(C4(CCO)CCCC4)c(=O)oc3cc1O2
ZINC85549202,C[NH2+]Cc1ccc(CO)c(C2CCC3SSCCC4(C)C5CC6=C(CCCC37[NH+]=C(N)NCC27)C(=O)CC64C(CCCO)C(CO)C5)c1
ZINC85570975,CC(O)C[NH2+]C1CC2(CCO)C(CCC3=C(C(C)CC(O)C4OC4(C)C)C(=O)CC32C)C2(C)CC(c3cccc(O)c3)C(=O)C(C)(C)C12
ZINC85540416,COCCC[NH2+]CC1=CC2CC3(O)C(C)(CCC4C3(O)CC3CC(C(C)C5CCCC5)CCC5C(O)C6(CCCC6)CC4(C=O)C35O)C2(CO)C2=CC(=O)OC21
ZINC85549204,C[NH2+]Cc1ccc(CO)c(C2CCC3CCC4=C5CC6CC(CO)C(CCCO)C5(CC4=O)C6(C)CCSSCC34[NH+]=C(N)NCC24)c1
ZINC85570977,C[NH2+]Cc1cc(O)cc(C2CC3(C)C(CCC45CCCC6C(=O)C(C(C)CC(O)C7OC7(C)C)=C(CCC34)C65C)C(C)(C)C2=O)c1
ZINC85549207,C[NH2+]Cc1ccc(CO)c(CC2CNC(N)=[NH+]C23CCCC2=C4CC5CC(CO)C(CCCO)C4(CC2=O)C5(C)CCSSC32CCCCC2)c1
ZINC85570978,CC(O)C[NH2+]C1CC2(C)C(CCC3=C(C(CC(O)C4OC4(C)C)C4CCCCC4)C(=O)CC32C)C2(C)CC(c3cccc(O)c3)C(=O)C(C)(C)C12
ZINC85594578,CC=C(C)C(=O)OC1(C)CC=C2CSSC3CCC([NH2+]C)C4CN(C(=O)Cc5c[nH+]c(N)cc5C2C12Cc1cc5ccc(=O)oc5cc1O2)C43
ZINC85540424,C[NH2+]C(Cc1ccccc1CO)C1CC2CC3(O)C(C)(CCC4C5(C=O)CCC(O)C6CCC(C(C)C)CC(C(O)C43O)C65O)C2C2=CC(=O)OC21
ZINC85570981,CC1(C2CCCC2)OC1C(O)CC(C1=C2CCC3C4(C)CC(c5cccc(O)c5)C(=O)C(C)(C)C4CCC3(C)C2(C)CC1=O)C1CCCCC1
ZINC85570982,CC(CC(O)C1OC1(C)C1CCCC1)C1=C2CCC3C4(C)CC(c5cccc(O)c5)C(=O)C(C)(C)C4CCC34CCCC(C1=O)C24C
ZINC85594580,CC=C(C)C(=O)OC1(C)CC=C2CSSCC3C(C[NH2+]C)CN3C(=O)Cc3c[nH+]c(N)cc3C2C12Cc1cc3cc(CCCO)c(=O)oc3cc1O2
ZINC85549215,CC12CCSSC3(CCCCC3)C34CC(CSSCc5ccc(CO)c(c5)CC3CNC(N)=[NH+]4)CC3=C4CC1CC(CO)C(CCCO)C42CC3=O
ZINC85570984,CC(O)C[NH2+]C1CC23CCCC4C(=O)C(C(C)CC(O)C5OC5(C)C)=C(CCC2C2(C)CC(c5cccc(O)c5)C(=O)C(C)(C)C12)C43C
ZINC85540429,C[NH2+]C(Cc1ccccc1CO)C1CC2CC3(O)C4(CCC5C6(C=O)CCC(O)C7CCC(C(C)C)CC(C(O)C53O)C76O)CCCC13OC(=O)C=C3C24
ZINC85594583,CC=C(C)C(=O)OC1(C)CC=C2CSSC3(CCCC3)C3C(C[NH2+]C)CN3C(=O)Cc3c[nH+]c(N)cc3C2C12Cc1cc3ccc(=O)oc3cc1O2
ZINC85570987,C[NH2+]Cc1cc(O)cc(C2C(=O)C3(C)CC=CC2C2(C)C3CCC3(C)C2CCC2=C(C(C)CC(O)C4OC4(C)C)C(=O)CC23C)c1
ZINC85540434,CCCCCC1CC2(C=O)C3CCC45CCC#Cc6cccc(CO)c6CC([NH2+]C)C6CC(CC4(O)C3(O)C(O)C(CCC(C)C)C2(O)CC1O)C5C1=CC(=O)OC16
ZINC85594586,CC=C(C)C(=O)OC1(C)CC=C2CSSCC3CCN3C(=O)Cc3c[nH+]c(N)cc3C2C12Cc1cc3cc(CC(CO)CCCO)c(=O)oc3cc1O2
ZINC85570989,C[NH2+]Cc1cc(O)cc(C2CC3(C)C(CCC4(C)C3CCC3=C(C(C)CC(O)C5OC5(C)C)C(=O)CC34C)C(C)(C)C2=O)c1
ZINC03874886,CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c3c(c(C(=O)C=Cc4ccccc4)c2O)OC(C)(C)C=C3)c1O
ZINC85570991,CC(O)C[NH2+]C1CC2(C)C3CCC4=C(C(C)CC(O)C5OC5(C)C)C(=O)CC42CCCC2(c4cccc(O)c4)CC3(C)C1C(C)(C)C2=O
ZINC85570992,CC(O)C[NH2+]C1CC2(C)C(CCC3=C(C(C)CC(O)C4OC4(C)C)C(=O)CC32C)C2(C)C3C=CCC(C)(C(=O)C3c3cccc(O)c3)C12
ZINC85594588,CC=C(C)C(=O)OC1(C)CC=C2CSSCC3C(C[NH2+]C)CN3C(=O)Cc3c[nH+]c(N)cc3C2C12Cc1cc3ccc(=O)oc3cc1O2
ZINC85540442,C[NH2+]CCNCC1=CC2CC3(O)C(C4CCCCC4)(CCC4C3(O)CC3CC(C(C)C5CCCC5)CCC5C(O)CCC4(C=O)C35O)C2(CO)C2=CC(=O)OC21
ZINC85570994,CC(O)C[NH2+]C12CC3(C)C(CCC4=C(C(C)CC(O)C5OC5(C)C)C(=O)CC43C)C3(C)CC(c4cccc(O)c4)(CC1)C(=O)C(C)(C)C32
ZINC85570998,CC(CC(O)C1OC1(C)C1CCCC1)C1=C2CCC3C(C)(CCC4C5(C)CC=CC(C(c6cccc(O)c6)C5=O)C43C)C2(C)CC1=O
ZINC85594592,CC=C(C)C(=O)OC1(C)CC=C2CSSCC3C(CC)CN3C(=O)Cc3c[nH+]c(N)cc3C2C12Cc1cc3cc(CCCO)c(=O)oc3cc1O2
ZINC85571001,CC(CC(O)C1OC1(C)C1CCCC1)C1=C2CCC3C4(C)CC5(c6cccc(O)c6)CCC(CC3(C)C2(C)CC1=O)C4C(C)(C)C5=O
ZINC26977303,COc1cc2cc(C)c(C(C)=O)c([O-])c2c(OC2OC(CO)C(O)C(O)C2O)c1
ZINC85566539,O=C1CC(c2ccc(O)cc2)Oc2cc(O)c(C3C(=O)c4ccc(O)cc4OC3c3ccc(O)cc3)c(O)c21
ZINC15262635,CC=C(C)C(=O)OC1c2cc(OC)c(OC)c(OC)c2-c2c(cc(OC)c(OC)c2OC)CC(C)C1(C)O
ZINC85540456,COCCC[NH2+]CC1=CC2CC3(O)C(C4CCCCC4)(CCC4C3(O)CC3CC(C(C)C5CCCC5)CCC5C(O)CCC4(C=O)C35O)C2(CO)C2=CC(=O)OC21
ZINC33832490,CCC1C[N+]2([O-])CCC3(C(=O)Nc4ccccc43)C2CC1C(=COC)C(=O)OC
ZINC85549252,C[NH2+]Cc1cccc(C2C=CC3CCC4=C5CC6CC(CO)C(CCCO)C5(CC4=O)C6(C)CCSSCC34[NH+]=C(N)NCC24)c1
ZINC85571009,CC(O)C[NH2+]C1CC2(C)C(CCC3=C(C(C)CC(O)C4OC4(C)C)C(=O)CC32C)C2(C)CC(c3cccc(O)c3)C(=O)C(C)(C)C12
ZINC85549254,C[NH2+]Cc1cccc(C2CCC3SSCCC4(C)C5CC6=C(CCCC37[NH+]=C(N)NCC27)C(=O)CC64C(CCCO)C(CO)C5)c1
ZINC85594598,CC=C(C)C(=O)OC1(C)CC=C2CSSC3(CCCCC3)C3C(CC)CN3C(=O)Cc3c[nH+]c(N)cc3C2C12Cc1cc3ccc(=O)oc3cc1O2
ZINC85571013,CCCC(CC(O)C1OC1(C)C)C1=C2CCC3C4(C)CC(c5cc(O)cc(C[NH2+]C)c5)C(=O)C(C)(C)C4CCC3(C)C2(C)CC1=O
ZINC85549261,C[NH2+]Cc1cccc(C2CCC3CCC4=C5CC6CC(CO)C(CCCO)C5(CC4=O)C6(C)CCSSCC34[NH+]=C(N)NCC24)c1
ZINC85594601,CC=C(C)C(=O)OC1(C)CC=C2CSSC3(CCCC3)C3C(CC)CN3C(=O)Cc3c[nH+]c(N)cc3C2C12Cc1cc3ccc(=O)oc3cc1O2
ZINC85625411,COc1c(O)c(O)cc2c1C1C=CC(C(O)CC(=O)CCc3ccc(O)c(OCN)c3)C2C(Cc2ccccc2)C1
ZINC85509046,CC(C)=CCCC(C)=CCC(O)C(C)=CCCC1(C)C(CCCO)C(=C(C)C=O)CCC1(C)O
ZINC85594602,CC=C(C)C(=O)OC1(C)CC=C2CSSCC3CCN3C(=O)Cc3c[nH+]c(N)cc3C2C12Cc1cc3cc(C4(CCO)CCCCC4)c(=O)oc3cc1O2
ZINC53277645,C=C(C)C1CC(CC2(CC=C(C)C)C(=O)C3=C([O-])C(C)C(C)OC3=C(C(CC(=O)[O-])c3ccccc3)C2=O)C1(C)C
ZINC85571019,CCCC(CC(O)C1OC1(C)C)C1=C2CCC3C4(C)CC(c5cccc(O)c5)C(=O)C(C)(C)C4C([NH2+]CC(C)O)CC3(C)C2(C)CC1=O
ZINC85625418,COc1c(O)c(O)cc2c1C1CC(Cc3ccccc3)C2C(C(O)CC(=O)CCc2ccc(O)c(OCN)c2)CC1
ZINC85594604,CC=C(C)C(=O)OC1(C)CC=C2CSSCC3CCN3C(=O)Cc3c[nH+]c(N)cc3C2C12Cc1cc3cc(C4(CCO)CCCC4)c(=O)oc3cc1O2
ZINC85549268,C[NH2+]Cc1cccc(CC2CNC(N)=[NH+]C23CCCC2=C4CC5CC(CO)C(CCCO)C4(CC2=O)C5(C)CCSSC32CCCCC2)c1
ZINC85571022,CCCC(CC(O)C1OC1(C)C1CCCC1)C1=C2CCC3C4(C)CC(c5cccc(O)c5)C(=O)C(C)(C)C4CCC3(C)C2(C)CC1=O
ZINC15262643,CC=C(C)C(=O)OC1c2cc3c(c(OC)c2-c2c(cc4c(c2OC)OCO4)CC(C)C1C)OCO3
ZINC85549272,C[NH2+]Cc1cccc(CC2CNC(N)=[NH+]C23CCCC2=C4CC5CC(CO)C(CCCO)C4(CC2=O)C5(C)CCSSC3)c1
ZINC85594605,CC=C(C)C(=O)OC1(C)CC=C2CSSC3C=CC4CN(C(=O)Cc5c[nH+]c(N)cc5C2C12Cc1cc5cc(CCCO)c(=O)oc5cc1O2)C43
ZINC85571025,CC(CC(O)C1OC1(C)C)C1=C2CCC3C4(C)CC(c5cccc(O)c5)C(=O)C(C)(C)C4C(O)CC3(C)C2(C)CC1=O
ZINC85540475,C[NH2+]CCNCC1=CC2CC3(O)C(C)(CCC4C3(O)CC3CC5C(C=CCC5C5CCCC5)CC5C(O)CCC4(C=O)C35O)C2C2=CC(=O)OC21
ZINC85571027,CC(CC(O)C1OC1(C)C)C1=C2CCC3C4(C)CCC(=O)C5(C)CCCCC(C)(O)C[NH2+]C(CC3(C)C2(C)CC1=O)C54
ZINC85594606,CC=C(C)C(=O)OC1(C)CC=C2CSSCC3C(CC)CN3C(=O)Cc3c[nH+]c(N)cc3C2C12Cc1cc3ccc(=O)oc3cc1O2
ZINC85594607,CC=C(C)C(=O)OC1(C)CC=C2CSSCC3CCN3C(=O)Cc3c[nH+]c(N)cc3C2C12Cc1cc3cc(CCCO)c(=O)oc3cc1O2
ZINC85509064,C=C(C=CC=C(CC)C1CCC2(C1O)C(CCCO)C(=C(C)C=O)CCC2(C)O)CCC=C(C)C
ZINC85571029,CC(CC(O)C1OC1(C)C)C1=C2CCC3C4(C)CC(c5cccc(O)c5)C(=O)C(C)(C)C4CCC3(CCO)C2(C)CC1=O
ZINC85594610,CC=C(C)C(=O)OC1(C)CC=C2CSSC3(CCCCC3)C3CCN3C(=O)Cc3c[nH+]c(N)cc3C2C12Cc1cc3ccc(=O)oc3cc1O2
ZINC85571034,CC1(C)OC1C(O)CC(C1=C2CCC3C4(C)CC(c5cccc(O)c5)C(=O)C(C)(C)C4CCC3(C)C2(C)CC1=O)C1CCCCC1
ZINC85594612,CC=C(C)C(=O)OC1(C)CC=C2CSSC3C=CC4CN(C(=O)Cc5c[nH+]c(N)cc5C2C12Cc1cc5ccc(=O)oc5cc1O2)C43
ZINC85540485,COCCC[NH2+]CC1=CC2CC3(O)C(C)(CCC4C3(O)CC3CC5C(C=CCC5C5CCCC5)CC5C(O)CCC4(C=O)C35O)C2C2=CC(=O)OC21
ZINC85625439,COc1c(O)c(O)cc2c1CCC(C1(c3ccccc3)CCCCC1)C2CC(O)CC(=O)CCc1ccc(O)c(OCN)c1
ZINC15262651,COc1c2c(cc3c1-c1c(cc4c(c1OC)OCO4)C(OC(=O)c1ccccc1)C(C)C(C)C3)OCO2
ZINC85594613,CC=C(C)C(=O)OC1(C)CC=C2CSSC3(CCCC3)C3CCN3C(=O)Cc3c[nH+]c(N)cc3C2C12Cc1cc3ccc(=O)oc3cc1O2
ZINC85571038,CC(CC(O)C1OC1(C)C)C1=C2CCC3C4(C)CC(c5cccc(O)c5)C(=O)C(C)(C)C4CCC34CCCC(C1=O)C24C
ZINC85571040,CC(O)C[NH2+]C1CC2(CCO)C(CCC3=C(C(C)CC(O)C4OC4(C)C)C(=O)CC32C)C2(C)CCC(=O)C(C)(C)C12
ZINC85625445,COc1c(O)c(O)cc2c1CCC(C1(c3ccccc3)CCCC1)C2CC(O)CC(=O)CCc1ccc(O)c(OCN)c1
ZINC85625446,COc1c(O)c(O)cc2c1CCC(Cc1ccccc1)C2CC(O)CC(=O)CCc1ccc(O)c(OCN)c1
ZINC85594616,CC=C(C)C(=O)OC1(C)CC=C2CSSCC3CCN3C(=O)Cc3c[nH+]c(N)cc3C2C12Cc1cc3ccc(=O)oc3cc1O2
ZINC85540493,CCCCCC1CC2(C=O)C3CCC45CCC#Cc6cccc(CO)c6CC([NH2+]C)C6CC(CC4(O)C3(O)CC3CC(C(C)C)CCC(C1O)C32O)C5C1=CC(=O)OC16
ZINC85594620,CC=C(C)C(=O)OC1(C)CC=CC(c2cc(N)[nH+]cc2CC(=O)N2CC(C[NH2+]C)C2)C12Cc1cc3ccc(=O)oc3cc1O2
ZINC19795938,CC1=C(O)C(=O)C=C2C1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)[O-])CCC3(C)CCC12C
ZINC31768645,CC(C)(O)C1CC(=O)C2(C)C(CCC3(C)C(c4ccoc4)OC(=O)C4OC432)C1(C)C=CC(=O)[O-]
ZINC04474696,CCCCCC=CCC=CCC=CCC=CCCCC(=O)[O-]
ZINC85549316,CC12CCSSCC3(CCCC4=C5CC1CC(CO)C(CCCO)C52CC4=O)[NH+]=C(N)NCC3Cc1cccc(C2CCCCC2)c1
ZINC85594626,CC=C(C)C(=O)OC1(C)CC=CC(c2cc(N)[nH+]cc2CC(=O)N2CC(C[NH2+]C)C2CCC(C)C)C12Cc1cc3ccc(=O)oc3cc1O2
ZINC85571055,Cc1cc(CC2=C3N=CC4=C3[N+](=C2)CC2C3=C(C(=O)C5CCCC6(CCC7C(C)(C)C(=O)CCC7(C)C6C2O)C35C)C(C)(CC(O)C2OC2(C)C)CC4)cc(C2CCOCC2)c1
ZINC02561231,CC=C(C)C(=O)OC1c2c(ccc3ccc(=O)oc23)OC1C(C)(C)OC(C)=O
ZINC85625474,COc1cc(C(CC(O)CC(=O)CCc2ccc(O)c(OCN)c2)CC2(c3ccccc3)CCCCC2)cc(O)c1O
ZINC85571062,CC=c1c(Cc2cc(C)cc(C3CCOCC3)c2)c2c3n1CC1C4=C(C(=O)CC4(C)C4(C)CCC5C(C)(C)C(=O)CCC5(C)C4C1O)C(C)(CC(O)C1OC1(C)C)CCC=3C=N2
ZINC85594631,CC=C(C)C(=O)OC1(C)CC=CC(c2cc(N)[nH+]cc2CC(=O)N2CC(CC)C2)C12Cc1cc3ccc(=O)oc3cc1O2
ZINC85549331,CC12CCSSCC34[NH+]=C(N)NCC3C(c3ccccc3)C=CC4CCC3=C4CC1CC(CO)C(CCCO)C42CC3=O
ZINC85571065,CC=c1c(Cc2cc(C)cc(C3CCOCC3)c2)c2c(n1CC1C3=C(C(C)CC(O)C4OC4(C)C)C(=O)CC3(C)C3(C)CCC4C(C)(CC[NH2+]C)C(=O)CCC4(C)C3C1O)=CC=N2
ZINC85625483,CCCCCC(CC(O)CC(=O)CCc1ccc(O)c(OCN)c1)c1cc(O)c(O)c(OCc2cccc(O)c2)c1
ZINC85549333,CC12CCSSC3CCC(c4ccccc4)C4CNC(N)=[NH+]C34CCCC3=C4CC1CC(CO)C(CCCO)C42CC3=O
ZINC85594633,CC=C(C)C(=O)OC1(C)CC=CC(c2cc(N)[nH+]cc2CC(=O)N2CCC2)C12Cc1cc3cc(CCCO)c(=O)oc3cc1O2
ZINC85625485,COc1cc(C(CC(O)CC(=O)CCc2ccc(O)c(OCN)c2)CC2(c3ccccc3)CCCC2)cc(O)c1O
ZINC14584858,COc1ccc(O)c(Cc2c(OC)c(OC)c(O)c3c2OC(c2ccccc2)CC3=O)c1
ZINC85594634,CC=C(CCO)C(=O)OC1(C)CC=CC(c2cc(N)[nH+]cc2CC(=O)N2CCC2)C12Cc1cc3ccc(=O)oc3cc1O2
ZINC85549337,CC12CCSSCC34[NH+]=C(N)NCC3C(c3ccccc3)CCC4CCC3=C4CC1CC(CO)C(CCCO)C42CC3=O
ZINC85594635,CC=C(C)C(=O)OC(C)(C)C1(Cc2cc(N)[nH+]cc2CC(=O)N2CC(C[NH2+]C)C2CCC(C)C)Cc2cc3cc(CCCO)c(=O)oc3cc2O1
ZINC85625494,NCOc1cc(CCC(=O)CC(O)CCc2cc(O)c(O)c(OC3(c4cccc(O)c4)CCCC3)c2)ccc1O
ZINC85594636,CC=C(C)C(=O)OC1(C)Cc2ccccc2C(c2ccc(N)[nH+]c2)C12Cc1cc3cc(CC(CO)CCCO)c(=O)oc3cc1O2
ZINC85625497,COc1cc(CCC(=O)CC(O)CC(CCc2ccccc2)c2cc(O)c(O)c(OCc3cccc(O)c3)c2)ccc1O
ZINC85540528,C=C1C(OC(C)=O)CCC2(C)C1CC1CC(OC(C)=O)C(C)=C(C(OC(C)=O)C2OC(C)=O)C1(C)C
ZINC85594638,CC=C(C)C(=O)OC1(C)Cc2ccccc2C(c2ccc(N)[nH+]c2)C12Cc1cc3cc(CC(CO)CCO)c(=O)oc3cc1O2
ZINC85625502,COc1cc(C(CCc2ccccc2)CC(O)CC(=O)CCc2ccc(O)c(OCN)c2)cc(O)c1O
ZINC85540532,C[NH2+]C1Cc2c(cccc2CO)C#CCCC23CCC4C(O)(C(O)CC5(O)CC(O)CCC45C=O)C2(O)CC2CC1C1OC(=O)C=C1C23
ZINC85571077,Cc1cc(CC2=C3N=CC4=C3[N+](=C2)CC2C3=C(C(=O)CC3(C)C3(C)CCC5C(C)(C)C(=O)CCC5(C)C3C2O)C(C)(CC(O)C2OC2(C)C)CC4)cc(C2CCOCC2)c1
ZINC85594640,CC=C(CCO)C(=O)OC1(C)Cc2ccccc2C(c2ccc(N)[nH+]c2)C12Cc1cc3cc(CCCO)c(=O)oc3cc1O2
ZINC85540538,C[NH2+]C1Cc2ccccc2C#CCCC23CCC4C(O)(CC5CC6C(C)CC=CC6CC6C(O)CCC4(C=O)C56O)C2(O)CC2CC1C1OC(=O)C=C1C23
ZINC85594642,CC=C(C)C(=O)OC1(C)CC=CC(c2cc(N)[nH+]cc2CC(=O)N2CCC2)C12Cc1cc3ccc(=O)oc3cc1O2
ZINC85625513,COc1cc(CCC(=O)CC(O)CC2c3cc(O)c(O)c(OC)c3CCC2Cc2ccccc2)ccc1O
ZINC85594644,CC=C(C)C(=O)OC1(C)Cc2ccccc2C(c2ccc(N)[nH+]c2)C12Cc1cc3cc(C4(CCO)CCCCC4)c(=O)oc3cc1O2
ZINC85540542,CC(=O)OC12COC1CC(O)C1(C)C2C(OC(=O)c2ccccc2)C2(O)CC(=O)C(C)=C(C(O)C1O)C2(C)C
ZINC85549363,CC12CCSSCC3(CCNC(N)=[NH+]3)CCCC3=C4C5CCC(CO)(CC51)C1C(CCCO)C=CC(C3=O)C412
ZINC59589304,O=C(CCCCCCCCCCCCCCCC(=O)OCCCCCCCO)OCCCCCCCO
ZINC85594646,CC=C(C)C(=O)OC1(C)Cc2ccccc2C(c2ccc(N)[nH+]c2)C12Cc1cc3cc(C4(CCO)CCCC4)c(=O)oc3cc1O2
ZINC85549365,CC12CCSSCC3(CCCC4=C5CC1CC(CO)C(CCCO)C52CC4=O)[NH+]=C(N)NCC3Cc1ccccc1
ZINC85645062,C=C(C)C(CC=C(C)C)Cc1cc(O)c(C2(C)CC(=O)c3c(O)cc(O)cc3O2)c(O)c1
ZINC05566283,C=C1C(=O)OC2C1C(OC(=O)C(C)=CC)C1(C)C(=O)C=CC1C(C)C2O
ZINC86002317,CCCCCCCCCCCCCc1cc(=O)c2ccccc2[nH]1
ZINC85540547,C[NH2+]C1Cc2c(cccc2CO)C#CCCC23CCC4C(O)(C(O)CC5(O)CC(O)C6(CCCC6)CC45C=O)C2(O)CC2CC1C1OC(=O)C=C1C23
ZINC85594649,CC=C(C)C(=O)OC(C)(C)C1(Cc2cc(N)[nH+]cc2CC(=O)N2CC(C[NH2+]C)C2CCC(C)C)Cc2cc3ccc(=O)oc3cc2O1
ZINC85549370,CC12CCSSC3(CCCCC3)C3(CCNC(N)=[NH+]3)CCCC3=C4CC1CC(CO)C(CCCO)C42CC3=O
ZINC73163231,CC(CC(=O)CC(C)C1CC(=O)C2(C)C3=C(C(=O)C(O)C12C)C1(C)CCC(O)C(C)(C)C1CC3=O)C(=O)[O-]
ZINC85594651,CC=C(C)C(=O)OC1(C)CC=CC(c2cc(N)[nH+]cc2CC(=O)N2CCC2CCC(C)C)C12Cc1cc3ccc(=O)oc3cc1O2
ZINC14589878,CC=C(C)C(=O)OC(c1cc2ccc(=O)oc2cc1OC)C(O)C(C)(C)O
ZINC85625530,COc1cc(CCC(=O)CC(O)CC(CC2(c3ccccc3)CCCCC2)c2cc(O)c(O)c(OC)c2)ccc1O
ZINC85645070,C=C(C)C(CC=C(C)C)Cc1c(O)cc2c(c1O)C(=O)CC(C)(c1c(O)cccc1O)O2
ZINC85594653,CC=C(C)C(=O)OC1(C)Cc2ccccc2C(c2ccc(N)[nH+]c2)C12Cc1cc3cc(CCCO)c(=O)oc3cc1O2
ZINC85549381,CC12CCSSCC3(CCCC4=C5CC1CC(CO)C(CCCCO)C52CC4=O)[NH+]=C(N)NCC3Cc1ccccc1
ZINC85625535,CCCCCC(CC(O)CC(=O)CCc1ccc(O)c(OC)c1)c1cc(O)c(O)c(OCc2cccc(O)c2)c1
ZINC85594655,CC=C(CCO)C(=O)OC1(C)Cc2ccccc2C(c2ccc(N)[nH+]c2)C12Cc1cc3ccc(=O)oc3cc1O2
ZINC85487763,C=C(C)C1CCC2(C(=O)[O-])CCC3(C)C(CCC4C5(C)CCC(OC6OCC(O)C(O)C6O)C(C)(CO)C5CCC43C)C12
ZINC85549384,CC12CCSSCC3(CCCC4=C5CC1CC(CO)C1CC=CC(C4=O)C512)[NH+]=C(N)NCC3Cc1ccccc1
ZINC85625538,COc1cc(CCC(=O)CC(O)CC(CC2(c3ccccc3)CCCC2)c2cc(O)c(O)c(OC)c2)ccc1O
ZINC14589883,CC=C(C)C(=O)OC(C(O)c1cc2ccc(=O)oc2cc1OC)C(C)(C)O
ZINC85594657,CC=C(C)C(=O)OC(C)(C)C1(Cc2cc(N)[nH+]cc2CC(=O)N2CCC2)Cc2cc3cc(CCCO)c(=O)oc3cc2O1
ZINC85594658,CC=C(CCO)C(=O)OC(C)(C)C1(Cc2cc(N)[nH+]cc2CC(=O)N2CCC2)Cc2cc3ccc(=O)oc3cc2O1
ZINC85549389,CC12CCSSCC3(CCNC(N)=[NH+]3)CCCC3=C4CC1CC(CO)C(CCCO)C42CC3=O
ZINC85625545,COc1cc(CCC(=O)CC(O)CCc2cc(O)c(O)c(OC3(c4cccc(O)c4)CCCC3)c2)ccc1O
ZINC85571100,CC=c1c(Cc2cc(C)cc(C3CCOCC3)c2)c2c(n1CC1C3=C(C(C)CC(O)C4OC4(C)C)C(=O)CC3(C)C3(C)CCC4C(C)(C)C(=O)CCC4(C)C3C1O)=CC=N2
ZINC85549394,CC12CCSSCC3(CCNC(N)=[NH+]3)CCCC3=C4C5CCC(CO)(CC51)C(CCCO)C42CC3=O
ZINC85540566,CC(=O)OC1CC2C(OC(C)=O)C=C3CC(C)(C(=O)C(O)C(=C1C)C2(C)C)C(O)CC3OC(=O)C=Cc1ccccc1
ZINC85594662,CC=C(C)C(=O)OC(C)(C)C1(Cc2cc(N)[nH+]cc2CC(=O)N2CCC2)Cc2cc3ccc(=O)oc3cc2O1
ZINC85540568,CCCCCC1CC2(C=O)C3CCC45CCC#Cc6cccc(CO)c6CC([NH2+]C)C6CC(CC4(O)C3(O)CC(CCC(C)C)C2(O)CC1O)C5(CO)C1=CC(=O)OC16
ZINC85594664,CC=C(C)C(=O)OC1(C)CCC(CCCOC)C(c2cc[nH+]c(N)c2)C12Cc1cc3ccc(=O)oc3cc1O2
ZINC85594666,CC=C(C)C(=O)OC1(C)CCCC(c2cc[nH+]c(N)c2)C12Cc1cc3cc(CCCO)c(=O)oc3cc1O2
ZINC85625556,COc1cc(CCC(=O)CC(O)CC(CCc2ccccc2)c2cc(O)c(O)c(OC)c2)ccc1O
ZINC85509190,CCCCCCCCCCC(O)C1CCC(C2CCC(C(O)CCCCCCCCCCC3CC(CC(C)=O)C(=O)O3)O2)O1
ZINC33954928,CC=C(C)C(=O)OC1C(OC(=O)CC(C)C)c2c(ccc3ccc(=O)oc32)OC1(C)C
ZINC85594668,CC=C(CCO)C(=O)OC1(C)CCCC(c2cc[nH+]c(N)c2)C12Cc1cc3ccc(=O)oc3cc1O2
ZINC33833952,C=C1C(O)CC(OC(C)=O)C2(C)C1CC1CC(=O)C(C)=C(C(OC(C)=O)C2OC(C)=O)C1(C)C
ZINC85549409,CC12CCSSCC3(CCNC(N)=[NH+]3)CCCC3=C4CC1CC(CO)C(CCCCO)C42CC3=O
